-271		-3570		1507	0
-236		-3608		1510	1
-239		-3581		1500	2
-254		-3587		1535	3
-238		-3594		1545	4
-248		-3608		1484	5
-245		-3580		1462	6
541		-3460		1131	7
-446		-3414		1536	8
-502		-3344		1577	9
-431		-3368		1491	10
-368		-3428		1472	11
-368		-3464		1458	12
-396		-3433		1475	13
-389		-3440		1571	14
-357		-3445		1499	15
-359		-3432		1501	16
-360		-3404		1496	17
-360		-3447		1547	18
-360		-3449		1520	19
-342		-3483		1554	20
-225		-4044		1785	21
-311		-3454		1539	22
-283		-3453		1510	23
-219		-3520		1457	24
-312		-3686		1410	25
-293		-3672		1422	26
-316		-3638		1360	27
-280		-3640		1416	28
-349		-3653		1438	29
-352		-3651		1464	30
-344		-3637		1436	31
-327		-3696		1452	32
-324		-3640		1425	33
-359		-3643		1460	34
-347		-3649		1455	35
-326		-3706		1432	36
-362		-3688		1444	37
-296		-3647		1422	38
-362		-3679		1457	39
-367		-3692		1374	40
-338		-3645		1459	41
-358		-3686		1413	42
-323		-3643		1423	43
-332		-3643		1515	44
-320		-3662		1479	45
-358		-3680		1473	46
-322		-3643		1490	47
-307		-3649		1416	48
-324		-3663		1457	49
-299		-3665		1399	50
-343		-3685		1490	51
-382		-3671		1435	52
-317		-3653		1516	53
-346		-3667		1469	54
-353		-3666		1419	55
-345		-3687		1484	56
-348		-3646		1495	57
-348		-3700		1522	58
-343		-3674		1488	59
-358		-3625		1484	60
-363		-3637		1469	61
-277		-3576		1445	62
-277		-3617		1460	63
-290		-3615		1459	64
