407		-150		16908	0
435		49		17112	1
362		20		17127	2
396		-13		17166	3
376		-8		17197	4
436		-40		17160	5
694		99		17075	6
-3781		-165		16839	7
1531		-53		17063	8
896		216		17710	9
422		252		16716	10
745		421		16291	11
438		60		17128	12
345		25		17407	13
651		37		17027	14
314		38		16964	15
434		130		17048	16
376		6		17179	17
384		0		17007	18
405		65		16975	19
459		17		17078	20
-45		3741		16157	21
-68		718		17243	22
453		-19		17344	23
347		-61		17262	24
382		41		17235	25
375		1		17236	26
82		54		17148	27
372		52		17182	28
387		17		17204	29
429		9		16899	30
389		47		17299	31
532		104		17036	32
319		39		17132	33
339		49		17228	34
363		34		17084	35
621		71		16982	36
342		-28		17196	37
372		62		17108	38
375		17		16935	39
387		95		17091	40
363		37		16830	41
337		31		17115	42
366		74		16926	43
301		-27		17182	44
350		64		17087	45
348		62		17364	46
354		2		16948	47
337		83		16804	48
344		20		16812	49
372		28		16705	50
369		91		17198	51
441		51		17155	52
363		27		17093	53
241		-7		17371	54
338		20		16971	55
283		-1		17124	56
326		58		17156	57
375		115		17052	58
317		-5		17157	59
389		37		16811	60
276		6		17204	61
351		-225		17040	62
396		52		17068	63
442		56		17055	64
